"predictor","beta","se","z","p_value","OR","OR_lo95","OR_hi95"
"(Intercept)",998.5358,6378829.2176,0,1,Inf,0,Inf
"LRG1",4.7557,159227.1238,0,1,116.2419,0,Inf
"B2M.1",0.1899,30363.1247,0,1,1.2091,0,Inf
"AHSG",33.961,131165.4949,0,1,561141340467172,0,Inf
"CLEC3B",22.1841,85650.3727,0,1,4309695163.4878,0,Inf
"COMP",-12.2207,69777.8097,0,1,0,0,Inf
"IGFBP3",-11.5123,70609.3366,0,1,0,0,Inf
"MCAM",11.8893,94911.4515,0,1,145695.5049,0,Inf
"TNXB",57.217,120509.923,0,1,7.06364701004206e+24,0,Inf
"C9",-27.6905,69159.5898,0,1,0,0,Inf
"F9",-101.5561,94060.5766,-0.001,0.999,0,0,Inf
"IGHV1.24",-0.8949,34182.4104,0,1,0.4086,0,Inf
"ITIH4.1",1.2019,69420.5327,0,1,3.3264,0,Inf
"MRC1",-11.7315,69643.7402,0,1,0,0,Inf
"PKM",-5.7693,29281.1567,0,1,0.0031,0,Inf
"APMAP",0.1127,99043.5793,0,1,1.1193,0,Inf
"CDH2",13.9926,33662.4742,0,1,1193764.3543,0,Inf
"KRT2",-45.966,52939.3191,-0.001,0.999,0,0,Inf
"KRT6B",6.1434,84733.2158,0,1,465.6426,0,Inf
"H6PD",-11.8716,84496.1229,0,1,0,0,Inf
"HSPA8",19.6787,72695.7877,0,1,351831635.6419,0,Inf
"KRT78",15.8442,55242.0356,0,1,7604141.1179,0,Inf
